x 	 y      rho      Ux     Uy

6	 0	 1	 0	0
6	 1	 1	 0	0
6	 2	 1	 0	0
6	 3	 1	 0	0
6	 4	 1	 0	0
6	 5	 1	 0	0
7	 0	 1	 0	0
7	 1	 1	 0	0
7	 2	 1	 0	0
7	 3	 1	 0	0
7	 4	 1	 0	0
7	 5	 1	 0	0
8	 0	 1	 0	0
8	 1	 1	 0	0
8	 2	 1	 0	0
8	 3	 1	 0	0
8	 4	 1	 0	0
8	 5	 1	 0	0
9	 0	 1	 0	0
9	 1	 1	 0	0
9	 2	 1	 0	0
9	 3	 1	 0	0
9	 4	 1	 0	0
9	 5	 1	 0	0
--------------------Nuevo tiempo = 187 ---------------------------------------
0	 0	 1	 0	0
0	 1	 1	 0	0
0	 2	 1	 0	0
0	 3	 1	 0	0
0	 4	 1	 0	0
0	 5	 1	 0	0
1	 0	 1	 0	0
1	 1	 1	 0	0
1	 2	 1	 0	0
1	 3	 1	 0	0
1	 4	 1	 0	0
1	 5	 1	 0	0
2	 0	 1	 0	0
2	 1	 1	 0	0
2	 2	 1	 0	0
2	 3	 1	 0	0
2	 4	 1	 0	0
2	 5	 1	 0	0
3	 0	 1	 0	0
3	 1	 1	 0	0
3	 2	 1	 0	0
3	 3	 1	 0	0
3	 4	 1	 0	0
3	 5	 1	 0	0
4	 0	 1	 0	0
4	 1	 1	 0	0
4	 2	 1	 0	0
4	 3	 1	 0	0
4	 4	 1	 0	0
4	 5	 1	 0	0
5	 0	 1	 0	0
5	 1	 1	 0	0
5	 2	 1	 0	0
5	 3	 1	 0	0
5	 4	 1	 0	0
5	 5	 1	 0	0
6	 0	 1	 0	0
6	 1	 1	 0	0
6	 2	 1	 0	0
6	 3	 1	 0	0
6	 4	 1	 0	0
6	 5	 1	 0	0
7	 0	 1	 0	0
7	 1	 1	 0	0
7	 2	 1	 0	0
7	 3	 1	 0	0
7	 4	 1	 0	0
7	 5	 1	 0	0
8	 0	 1	 0	0
8	 1	 1	 0	0
8	 2	 1	 0	0
8	 3	 1	 0	0
8	 4	 1	 0	0
8	 5	 1	 0	0
9	 0	 1	 0	0
9	 1	 1	 0	0
9	 2	 1	 0	0
9	 3	 1	 0	0
9	 4	 1	 0	0
9	 5	 1	 0	0
--------------------Nuevo tiempo = 188 ---------------------------------------
0	 0	 1	 0	0
0	 1	 1	 0	0
0	 2	 1	 0	0
0	 3	 1	 0	0
0	 4	 1	 0	0
0	 5	 1	 0	0
1	 0	 1	 0	0
1	 1	 1	 0	0
1	 2	 1	 0	0
1	 3	 1	 0	0
1	 4	 1	 0	0
1	 5	 1	 0	0
2	 0	 1	 0	0
2	 1	 1	 0	0
2	 2	 1	 0	0
2	 3	 1	 0	0
2	 4	 1	 0	0
2	 5	 1	 0	0
3	 0	 1	 0	0
3	 1	 1	 0	0
3	 2	 1	 0	0
3	 3	 1	 0	0
3	 4	 1	 0	0
3	 5	 1	 0	0
4	 0	 1	 0	0
4	 1	 1	 0	0
4	 2	 1	 0	0
4	 3	 1	 0	0
4	 4	 1	 0	0
4	 5	 1	 0	0
5	 0	 1	 0	0
5	 1	 1	 0	0
5	 2	 1	 0	0
5	 3	 1	 0	0
5	 4	 1	 0	0
5	 5	 1	 0	0
6	 0	 1	 0	0
6	 1	 1	 0	0
6	 2	 1	 0	0
6	 3	 1	 0	0
6	 4	 1	 0	0
6	 5	 1	 0	0
7	 0	 1	 0	0
7	 1	 1	 0	0
7	 2	 1	 0	0
7	 3	 1	 0	0
7	 4	 1	 0	0
7	 5	 1	 0	0
8	 0	 1	 0	0
8	 1	 1	 0	0
8	 2	 1	 0	0
8	 3	 1	 0	0
8	 4	 1	 0	0
8	 5	 1	 0	0
9	 0	 1	 0	0
9	 1	 1	 0	0
9	 2	 1	 0	0
9	 3	 1	 0	0
9	 4	 1	 0	0
9	 5	 1	 0	0
--------------------Nuevo tiempo = 189 ---------------------------------------
0	 0	 1	 0	0
0	 1	 1	 0	0
0	 2	 1	 0	0
0	 3	 1	 0	0
0	 4	 1	 0	0
0	 5	 1	 0	0
1	 0	 1	 0	0
1	 1	 1	 0	0
1	 2	 1	 0	0
1	 3	 1	 0	0
1	 4	 1	 0	0
1	 5	 1	 0	0
2	 0	 1	 0	0
2	 1	 1	 0	0
2	 2	 1	 0	0
2	 3	 1	 0	0
2	 4	 1	 0	0
2	 5	 1	 0	0
3	 0	 1	 0	0
3	 1	 1	 0	0
3	 2	 1	 0	0
3	 3	 1	 0	0
3	 4	 1	 0	0
3	 5	 1	 0	0
4	 0	 1	 0	0
4	 1	 1	 0	0
4	 2	 1	 0	0
4	 3	 1	 0	0
4	 4	 1	 0	0
4	 5	 1	 0	0
5	 0	 1	 0	0
5	 1	 1	 0	0
5	 2	 1	 0	0
5	 3	 1	 0	0
5	 4	 1	 0	0
5	 5	 1	 0	0
6	 0	 1	 0	0
6	 1	 1	 0	0
6	 2	 1	 0	0
6	 3	 1	 0	0
6	 4	 1	 0	0
6	 5	 1	 0	0
7	 0	 1	 0	0
7	 1	 1	 0	0
7	 2	 1	 0	0
7	 3	 1	 0	0
7	 4	 1	 0	0
7	 5	 1	 0	0
8	 0	 1	 0	0
8	 1	 1	 0	0
8	 2	 1	 0	0
8	 3	 1	 0	0
8	 4	 1	 0	0
8	 5	 1	 0	0
9	 0	 1	 0	0
9	 1	 1	 0	0
9	 2	 1	 0	0
9	 3	 1	 0	0
9	 4	 1	 0	0
9	 5	 1	 0	0
--------------------Nuevo tiempo = 190 ---------------------------------------
0	 0	 1	 0	0
0	 1	 1	 0	0
0	 2	 1	 0	0
0	 3	 1	 0	0
0	 4	 1	 0	0
0	 5	 1	 0	0
1	 0	 1	 0	0
1	 1	 1	 0	0
1	 2	 1	 0	0
1	 3	 1	 0	0
1	 4	 1	 0	0
1	 5	 1	 0	0
2	 0	 1	 0	0
2	 1	 1	 0	0
2	 2	 1	 0	0
2	 3	 1	 0	0
2	 4	 1	 0	0
2	 5	 1	 0	0
3	 0	 1	 0	0
3	 1	 1	 0	0
3	 2	 1	 0	0
3	 3	 1	 0	0
3	 4	 1	 0	0
3	 5	 1	 0	0
4	 0	 1	 0	0
4	 1	 1	 0	0
4	 2	 1	 0	0
4	 3	 1	 0	0
4	 4	 1	 0	0
4	 5	 1	 0	0
5	 0	 1	 0	0
5	 1	 1	 0	0
5	 2	 1	 0	0
5	 3	 1	 0	0
5	 4	 1	 0	0
5	 5	 1	 0	0
6	 0	 1	 0	0
6	 1	 1	 0	0
6	 2	 1	 0	0
6	 3	 1	 0	0
6	 4	 1	 0	0
6	 5	 1	 0	0
7	 0	 1	 0	0
7	 1	 1	 0	0
7	 2	 1	 0	0
7	 3	 1	 0	0
7	 4	 1	 0	0
7	 5	 1	 0	0
8	 0	 1	 0	0
8	 1	 1	 0	0
8	 2	 1	 0	0
8	 3	 1	 0	0
8	 4	 1	 0	0
8	 5	 1	 0	0
9	 0	 1	 0	0
9	 1	 1	 0	0
9	 2	 1	 0	0
9	 3	 1	 0	0
9	 4	 1	 0	0
9	 5	 1	 0	0
--------------------Nuevo tiempo = 191 ---------------------------------------
0	 0	 1	 0	0
0	 1	 1	 0	0
0	 2	 1	 0	0
0	 3	 1	 0	0
0	 4	 1	 0	0
0	 5	 1	 0	0
1	 0	 1	 0	0
1	 1	 1	 0	0
1	 2	 1	 0	0
1	 3	 1	 0	0
1	 4	 1	 0	0
1	 5	 1	 0	0
2	 0	 1	 0	0
2	 1	 1	 0	0
2	 2	 1	 0	0
2	 3	 1	 0	0
2	 4	 1	 0	0
2	 5	 1	 0	0
3	 0	 1	 0	0
3	 1	 1	 0	0
3	 2	 1	 0	0
3	 3	 1	 0	0
3	 4	 1	 0	0
3	 5	 1	 0	0
4	 0	 1	 0	0
4	 1	 1	 0	0
4	 2	 1	 0	0
4	 3	 1	 0	0
4	 4	 1	 0	0
4	 5	 1	 0	0
5	 0	 1	 0	0
5	 1	 1	 0	0
5	 2	 1	 0	0
5	 3	 1	 0	0
5	 4	 1	 0	0
5	 5	 1	 0	0
6	 0	 1	 0	0
6	 1	 1	 0	0
6	 2	 1	 0	0
6	 3	 1	 0	0
6	 4	 1	 0	0
6	 5	 1	 0	0
7	 0	 1	 0	0
7	 1	 1	 0	0
7	 2	 1	 0	0
7	 3	 1	 0	0
7	 4	 1	 0	0
7	 5	 1	 0	0
8	 0	 1	 0	0
8	 1	 1	 0	0
8	 2	 1	 0	0
8	 3	 1	 0	0
8	 4	 1	 0	0
8	 5	 1	 0	0
9	 0	 1	 0	0
9	 1	 1	 0	0
9	 2	 1	 0	0
9	 3	 1	 0	0
9	 4	 1	 0	0
9	 5	 1	 0	0
--------------------Nuevo tiempo = 192 ---------------------------------------
0	 0	 1	 0	0
0	 1	 1	 0	0
0	 2	 1	 0	0
0	 3	 1	 0	0
0	 4	 1	 0	0
0	 5	 1	 0	0
1	 0	 1	 0	0
1	 1	 1	 0	0
1	 2	 1	 0	0
1	 3	 1	 0	0
1	 4	 1	 0	0
1	 5	 1	 0	0
2	 0	 1	 0	0
2	 1	 1	 0	0
2	 2	 1	 0	0
2	 3	 1	 0	0
2	 4	 1	 0	0
2	 5	 1	 0	0
3	 0	 1	 0	0
3	 1	 1	 0	0
3	 2	 1	 0	0
3	 3	 1	 0	0
3	 4	 1	 0	0
3	 5	 1	 0	0
4	 0	 1	 0	0
4	 1	 1	 0	0
4	 2	 1	 0	0
4	 3	 1	 0	0
4	 4	 1	 0	0
4	 5	 1	 0	0
5	 0	 1	 0	0
5	 1	 1	 0	0
5	 2	 1	 0	0
5	 3	 1	 0	0
5	 4	 1	 0	0
5	 5	 1	 0	0
6	 0	 1	 0	0
6	 1	 1	 0	0
6	 2	 1	 0	0
6	 3	 1	 0	0
6	 4	 1	 0	0
6	 5	 1	 0	0
7	 0	 1	 0	0
7	 1	 1	 0	0
7	 2	 1	 0	0
7	 3	 1	 0	0
7	 4	 1	 0	0
7	 5	 1	 0	0
8	 0	 1	 0	0
8	 1	 1	 0	0
8	 2	 1	 0	0
8	 3	 1	 0	0
8	 4	 1	 0	0
8	 5	 1	 0	0
9	 0	 1	 0	0
9	 1	 1	 0	0
9	 2	 1	 0	0
9	 3	 1	 0	0
9	 4	 1	 0	0
9	 5	 1	 0	0
--------------------Nuevo tiempo = 193 ---------------------------------------
0	 0	 1	 0	0
0	 1	 1	 0	0
0	 2	 1	 0	0
0	 3	 1	 0	0
0	 4	 1	 0	0
0	 5	 1	 0	0
1	 0	 1	 0	0
1	 1	 1	 0	0
1	 2	 1	 0	0
1	 3	 1	 0	0
1	 4	 1	 0	0
1	 5	 1	 0	0
2	 0	 1	 0	0
2	 1	 1	 0	0
2	 2	 1	 0	0
2	 3	 1	 0	0
2	 4	 1	 0	0
2	 5	 1	 0	0
3	 0	 1	 0	0
3	 1	 1	 0	0
3	 2	 1	 0	0
3	 3	 1	 0	0
3	 4	 1	 0	0
3	 5	 1	 0	0
4	 0	 1	 0	0
4	 1	 1	 0	0
4	 2	 1	 0	0
4	 3	 1	 0	0
4	 4	 1	 0	0
4	 5	 1	 0	0
5	 0	 1	 0	0
5	 1	 1	 0	0
5	 2	 1	 0	0
5	 3	 1	 0	0
5	 4	 1	 0	0
5	 5	 1	 0	0
6	 0	 1	 0	0
6	 1	 1	 0	0
6	 2	 1	 0	0
6	 3	 1	 0	0
6	 4	 1	 0	0
6	 5	 1	 0	0
7	 0	 1	 0	0
7	 1	 1	 0	0
7	 2	 1	 0	0
7	 3	 1	 0	0
7	 4	 1	 0	0
7	 5	 1	 0	0
8	 0	 1	 0	0
8	 1	 1	 0	0
8	 2	 1	 0	0
8	 3	 1	 0	0
8	 4	 1	 0	0
8	 5	 1	 0	0
9	 0	 1	 0	0
9	 1	 1	 0	0
9	 2	 1	 0	0
9	 3	 1	 0	0
9	 4	 1	 0	0
9	 5	 1	 0	0
--------------------Nuevo tiempo = 194 ---------------------------------------
0	 0	 1	 0	0
0	 1	 1	 0	0
0	 2	 1	 0	0
0	 3	 1	 0	0
0	 4	 1	 0	0
0	 5	 1	 0	0
1	 0	 1	 0	0
1	 1	 1	 0	0
1	 2	 1	 0	0
1	 3	 1	 0	0
1	 4	 1	 0	0
1	 5	 1	 0	0
2	 0	 1	 0	0
2	 1	 1	 0	0
2	 2	 1	 0	0
2	 3	 1	 0	0
2	 4	 1	 0	0
2	 5	 1	 0	0
3	 0	 1	 0	0
3	 1	 1	 0	0
3	 2	 1	 0	0
3	 3	 1	 0	0
3	 4	 1	 0	0
3	 5	 1	 0	0
4	 0	 1	 0	0
4	 1	 1	 0	0
4	 2	 1	 0	0
4	 3	 1	 0	0
4	 4	 1	 0	0
4	 5	 1	 0	0
5	 0	 1	 0	0
5	 1	 1	 0	0
5	 2	 1	 0	0
5	 3	 1	 0	0
5	 4	 1	 0	0
5	 5	 1	 0	0
6	 0	 1	 0	0
6	 1	 1	 0	0
6	 2	 1	 0	0
6	 3	 1	 0	0
6	 4	 1	 0	0
6	 5	 1	 0	0
7	 0	 1	 0	0
7	 1	 1	 0	0
7	 2	 1	 0	0
7	 3	 1	 0	0
7	 4	 1	 0	0
7	 5	 1	 0	0
8	 0	 1	 0	0
8	 1	 1	 0	0
8	 2	 1	 0	0
8	 3	 1	 0	0
8	 4	 1	 0	0
8	 5	 1	 0	0
9	 0	 1	 0	0
9	 1	 1	 0	0
9	 2	 1	 0	0
9	 3	 1	 0	0
9	 4	 1	 0	0
9	 5	 1	 0	0
--------------------Nuevo tiempo = 195 ---------------------------------------
0	 0	 1	 0	0
0	 1	 1	 0	0
0	 2	 1	 0	0
0	 3	 1	 0	0
0	 4	 1	 0	0
0	 5	 1	 0	0
1	 0	 1	 0	0
1	 1	 1	 0	0
1	 2	 1	 0	0
1	 3	 1	 0	0
1	 4	 1	 0	0
1	 5	 1	 0	0
2	 0	 1	 0	0
2	 1	 1	 0	0
2	 2	 1	 0	0
2	 3	 1	 0	0
2	 4	 1	 0	0
2	 5	 1	 0	0
3	 0	 1	 0	0
3	 1	 1	 0	0
3	 2	 1	 0	0
3	 3	 1	 0	0
3	 4	 1	 0	0
3	 5	 1	 0	0
4	 0	 1	 0	0
4	 1	 1	 0	0
4	 2	 1	 0	0
4	 3	 1	 0	0
4	 4	 1	 0	0
4	 5	 1	 0	0
5	 0	 1	 0	0
5	 1	 1	 0	0
5	 2	 1	 0	0
5	 3	 1	 0	0
5	 4	 1	 0	0
5	 5	 1	 0	0
6	 0	 1	 0	0
6	 1	 1	 0	0
6	 2	 1	 0	0
6	 3	 1	 0	0
6	 4	 1	 0	0
6	 5	 1	 0	0
7	 0	 1	 0	0
7	 1	 1	 0	0
7	 2	 1	 0	0
7	 3	 1	 0	0
7	 4	 1	 0	0
7	 5	 1	 0	0
8	 0	 1	 0	0
8	 1	 1	 0	0
8	 2	 1	 0	0
8	 3	 1	 0	0
8	 4	 1	 0	0
8	 5	 1	 0	0
9	 0	 1	 0	0
9	 1	 1	 0	0
9	 2	 1	 0	0
9	 3	 1	 0	0
9	 4	 1	 0	0
9	 5	 1	 0	0
--------------------Nuevo tiempo = 196 ---------------------------------------
0	 0	 1	 0	0
0	 1	 1	 0	0
0	 2	 1	 0	0
0	 3	 1	 0	0
0	 4	 1	 0	0
0	 5	 1	 0	0
1	 0	 1	 0	0
1	 1	 1	 0	0
1	 2	 1	 0	0
1	 3	 1	 0	0
1	 4	 1	 0	0
1	 5	 1	 0	0
2	 0	 1	 0	0
2	 1	 1	 0	0
2	 2	 1	 0	0
2	 3	 1	 0	0
2	 4	 1	 0	0
2	 5	 1	 0	0
3	 0	 1	 0	0
3	 1	 1	 0	0
3	 2	 1	 0	0
3	 3	 1	 0	0
3	 4	 1	 0	0
3	 5	 1	 0	0
4	 0	 1	 0	0
4	 1	 1	 0	0
4	 2	 1	 0	0
4	 3	 1	 0	0
4	 4	 1	 0	0
4	 5	 1	 0	0
5	 0	 1	 0	0
5	 1	 1	 0	0
5	 2	 1	 0	0
5	 3	 1	 0	0
5	 4	 1	 0	0
5	 5	 1	 0	0
6	 0	 1	 0	0
6	 1	 1	 0	0
6	 2	 1	 0	0
6	 3	 1	 0	0
6	 4	 1	 0	0
6	 5	 1	 0	0
7	 0	 1	 0	0
7	 1	 1	 0	0
7	 2	 1	 0	0
7	 3	 1	 0	0
7	 4	 1	 0	0
7	 5	 1	 0	0
8	 0	 1	 0	0
8	 1	 1	 0	0
8	 2	 1	 0	0
8	 3	 1	 0	0
8	 4	 1	 0	0
8	 5	 1	 0	0
9	 0	 1	 0	0
9	 1	 1	 0	0
9	 2	 1	 0	0
9	 3	 1	 0	0
9	 4	 1	 0	0
9	 5	 1	 0	0
--------------------Nuevo tiempo = 197 ---------------------------------------
0	 0	 1	 0	0
0	 1	 1	 0	0
0	 2	 1	 0	0
0	 3	 1	 0	0
0	 4	 1	 0	0
0	 5	 1	 0	0
1	 0	 1	 0	0
1	 1	 1	 0	0
1	 2	 1	 0	0
1	 3	 1	 0	0
1	 4	 1	 0	0
1	 5	 1	 0	0
2	 0	 1	 0	0
2	 1	 1	 0	0
2	 2	 1	 0	0
2	 3	 1	 0	0
2	 4	 1	 0	0
2	 5	 1	 0	0
3	 0	 1	 0	0
3	 1	 1	 0	0
3	 2	 1	 0	0
3	 3	 1	 0	0
3	 4	 1	 0	0
3	 5	 1	 0	0
4	 0	 1	 0	0
4	 1	 1	 0	0
4	 2	 1	 0	0
4	 3	 1	 0	0
4	 4	 1	 0	0
4	 5	 1	 0	0
5	 0	 1	 0	0
5	 1	 1	 0	0
5	 2	 1	 0	0
5	 3	 1	 0	0
5	 4	 1	 0	0
5	 5	 1	 0	0
6	 0	 1	 0	0
6	 1	 1	 0	0
6	 2	 1	 0	0
6	 3	 1	 0	0
6	 4	 1	 0	0
6	 5	 1	 0	0
7	 0	 1	 0	0
7	 1	 1	 0	0
7	 2	 1	 0	0
7	 3	 1	 0	0
7	 4	 1	 0	0
7	 5	 1	 0	0
8	 0	 1	 0	0
8	 1	 1	 0	0
8	 2	 1	 0	0
8	 3	 1	 0	0
8	 4	 1	 0	0
8	 5	 1	 0	0
9	 0	 1	 0	0
9	 1	 1	 0	0
9	 2	 1	 0	0
9	 3	 1	 0	0
9	 4	 1	 0	0
9	 5	 1	 0	0
--------------------Nuevo tiempo = 198 ---------------------------------------
0	 0	 1	 0	0
0	 1	 1	 0	0
0	 2	 1	 0	0
0	 3	 1	 0	0
0	 4	 1	 0	0
0	 5	 1	 0	0
1	 0	 1	 0	0
1	 1	 1	 0	0
1	 2	 1	 0	0
1	 3	 1	 0	0
1	 4	 1	 0	0
1	 5	 1	 0	0
2	 0	 1	 0	0
2	 1	 1	 0	0
2	 2	 1	 0	0
2	 3	 1	 0	0
2	 4	 1	 0	0
2	 5	 1	 0	0
3	 0	 1	 0	0
3	 1	 1	 0	0
3	 2	 1	 0	0
3	 3	 1	 0	0
3	 4	 1	 0	0
3	 5	 1	 0	0
4	 0	 1	 0	0
4	 1	 1	 0	0
4	 2	 1	 0	0
4	 3	 1	 0	0
4	 4	 1	 0	0
4	 5	 1	 0	0
5	 0	 1	 0	0
5	 1	 1	 0	0
5	 2	 1	 0	0
5	 3	 1	 0	0
5	 4	 1	 0	0
5	 5	 1	 0	0
6	 0	 1	 0	0
6	 1	 1	 0	0
6	 2	 1	 0	0
6	 3	 1	 0	0
6	 4	 1	 0	0
6	 5	 1	 0	0
7	 0	 1	 0	0
7	 1	 1	 0	0
7	 2	 1	 0	0
7	 3	 1	 0	0
7	 4	 1	 0	0
7	 5	 1	 0	0
8	 0	 1	 0	0
8	 1	 1	 0	0
8	 2	 1	 0	0
8	 3	 1	 0	0
8	 4	 1	 0	0
8	 5	 1	 0	0
9	 0	 1	 0	0
9	 1	 1	 0	0
9	 2	 1	 0	0
9	 3	 1	 0	0
9	 4	 1	 0	0
9	 5	 1	 0	0
--------------------Nuevo tiempo = 199 ---------------------------------------
0	 0	 1	 0	0
0	 1	 1	 0	0
0	 2	 1	 0	0
0	 3	 1	 0	0
0	 4	 1	 0	0
0	 5	 1	 0	0
1	 0	 1	 0	0
1	 1	 1	 0	0
1	 2	 1	 0	0
1	 3	 1	 0	0
1	 4	 1	 0	0
1	 5	 1	 0	0
2	 0	 1	 0	0
2	 1	 1	 0	0
2	 2	 1	 0	0
2	 3	 1	 0	0
2	 4	 1	 0	0
2	 5	 1	 0	0
3	 0	 1	 0	0
3	 1	 1	 0	0
3	 2	 1	 0	0
3	 3	 1	 0	0
3	 4	 1	 0	0
3	 5	 1	 0	0
4	 0	 1	 0	0
4	 1	 1	 0	0
4	 2	 1	 0	0
4	 3	 1	 0	0
4	 4	 1	 0	0
4	 5	 1	 0	0
5	 0	 1	 0	0
5	 1	 1	 0	0
5	 2	 1	 0	0
5	 3	 1	 0	0
5	 4	 1	 0	0
5	 5	 1	 0	0
6	 0	 1	 0	0
6	 1	 1	 0	0
6	 2	 1	 0	0
6	 3	 1	 0	0
6	 4	 1	 0	0
6	 5	 1	 0	0
7	 0	 1	 0	0
7	 1	 1	 0	0
7	 2	 1	 0	0
7	 3	 1	 0	0
7	 4	 1	 0	0
7	 5	 1	 0	0
8	 0	 1	 0	0
8	 1	 1	 0	0
8	 2	 1	 0	0
8	 3	 1	 0	0
8	 4	 1	 0	0
8	 5	 1	 0	0
9	 0	 1	 0	0
9	 1	 1	 0	0
9	 2	 1	 0	0
9	 3	 1	 0	0
9	 4	 1	 0	0
9	 5	 1	 0	0
--------------------Nuevo tiempo = 200 ---------------------------------------
0	 0	 1	 0	0
0	 1	 1	 0	0
0	 2	 1	 0	0
0	 3	 1	 0	0
0	 4	 1	 0	0
0	 5	 1	 0	0
1	 0	 1	 0	0
1	 1	 1	 0	0
1	 2	 1	 0	0
1	 3	 1	 0	0
1	 4	 1	 0	0
1	 5	 1	 0	0
2	 0	 1	 0	0
2	 1	 1	 0	0
2	 2	 1	 0	0
2	 3	 1	 0	0
2	 4	 1	 0	0
2	 5	 1	 0	0
3	 0	 1	 0	0
3	 1	 1	 0	0
3	 2	 1	 0	0
3	 3	 1	 0	0
3	 4	 1	 0	0
3	 5	 1	 0	0
4	 0	 1	 0	0
4	 1	 1	 0	0
4	 2	 1	 0	0
4	 3	 1	 0	0
4	 4	 1	 0	0
4	 5	 1	 0	0
5	 0	 1	 0	0
5	 1	 1	 0	0
5	 2	 1	 0	0
5	 3	 1	 0	0
5	 4	 1	 0	0
5	 5	 1	 0	0
6	 0	 1	 0	0
6	 1	 1	 0	0
6	 2	 1	 0	0
6	 3	 1	 0	0
6	 4	 1	 0	0
6	 5	 1	 0	0
7	 0	 1	 0	0
7	 1	 1	 0	0
7	 2	 1	 0	0
7	 3	 1	 0	0
7	 4	 1	 0	0
7	 5	 1	 0	0
8	 0	 1	 0	0
8	 1	 1	 0	0
8	 2	 1	 0	0
8	 3	 1	 0	0
8	 4	 1	 0	0
8	 5	 1	 0	0
9	 0	 1	 0	0
9	 1	 1	 0	0
9	 2	 1	 0	0
9	 3	 1	 0	0
9	 4	 1	 0	0
9	 5	 1	 0	0
--------------------Nuevo tiempo = 201 ---------------------------------------
0	 0	 1	 0	0
0	 1	 1	 0	0
0	 2	 1	 0	0
0	 3	 1	 0	0
0	 4	 1	 0	0
0	 5	 1	 0	0
1	 0	 1	 0	0
1	 1	 1	 0	0
1	 2	 1	 0	0
1	 3	 1	 0	0
1	 4	 1	 0	0
1	 5	 1	 0	0
2	 0	 1	 0	0
2	 1	 1	 0	0
2	 2	 1	 0	0
2	 3	 1	 0	0
2	 4	 1	 0	0
2	 5	 1	 0	0
3	 0	 1	 0	0
3	 1	 1	 0	0
3	 2	 1	 0	0
3	 3	 1	 0	0
3	 4	 1	 0	0
3	 5	 1	 0	0
4	 0	 1	 0	0
4	 1	 1	 0	0
4	 2	 1	 0	0
4	 3	 1	 0	0
4	 4	 1	 0	0
4	 5	 1	 0	0
5	 0	 1	 0	0
5	 1	 1	 0	0
5	 2	 1	 0	0
5	 3	 1	 0	0
5	 4	 1	 0	0
5	 5	 1	 0	0
6	 0	 1	 0	0
6	 1	 1	 0	0
6	 2	 1	 0	0
6	 3	 1	 0	0
6	 4	 1	 0	0
6	 5	 1	 0	0
7	 0	 1	 0	0
7	 1	 1	 0	0
7	 2	 1	 0	0
7	 3	 1	 0	0
7	 4	 1	 0	0
7	 5	 1	 0	0
8	 0	 1	 0	0
8	 1	 1	 0	0
8	 2	 1	 0	0
8	 3	 1	 0	0
8	 4	 1	 0	0
8	 5	 1	 0	0
9	 0	 1	 0	0
9	 1	 1	 0	0
9	 2	 1	 0	0
9	 3	 1	 0	0
9	 4	 1	 0	0
9	 5	 1	 0	0
--------------------Nuevo tiempo = 202 ---------------------------------------
0	 0	 1	 0	0
0	 1	 1	 0	0
0	 2	 1	 0	0
0	 3	 1	 0	0
0	 4	 1	 0	0
0	 5	 1	 0	0
1	 0	 1	 0	0
1	 1	 1	 0	0
1	 2	 1	 0	0
1	 3	 1	 0	0
1	 4	 1	 0	0
1	 5	 1	 0	0
2	 0	 1	 0	0
2	 1	 1	 0	0
2	 2	 1	 0	0
2	 3	 1	 0	0
2	 4	 1	 0	0
2	 5	 1	 0	0
3	 0	 1	 0	0
3	 1	 1	 0	0
3	 2	 1	 0	0
3	 3	 1	 0	0
3	 4	 1	 0	0
3	 5	 1	 0	0
4	 0	 1	 0	0
4	 1	 1	 0	0
4	 2	 1	 0	0
4	 3	 1	 0	0
4	 4	 1	 0	0
4	 5	 1	 0	0
5	 0	 1	 0	0
5	 1	 1	 0	0
5	 2	 1	 0	0
5	 3	 1	 0	0
5	 4	 1	 0	0
5	 5	 1	 0	0
6	 0	 1	 0	0
6	 1	 1	 0	0
6	 2	 1	 0	0
6	 3	 1	 0	0
6	 4	 1	 0	0
6	 5	 1	 0	0
7	 0	 1	 0	0
7	 1	 1	 0	0
7	 2	 1	 0	0
7	 3	 1	 0	0
7	 4	 1	 0	0
7	 5	 1	 0	0
8	 0	 1	 0	0
8	 1	 1	 0	0
8	 2	 1	 0	0
8	 3	 1	 0	0
8	 4	 1	 0	0
8	 5	 1	 0	0
9	 0	 1	 0	0
9	 1	 1	 0	0
9	 2	 1	 0	0
9	 3	 1	 0	0
9	 4	 1	 0	0
9	 5	 1	 0	0
--------------------Nuevo tiempo = 203 ---------------------------------------
0	 0	 1	 0	0
0	 1	 1	 0	0
0	 2	 1	 0	0
0	 3	 1	 0	0
0	 4	 1	 0	0
0	 5	 1	 0	0
1	 0	 1	 0	0
1	 1	 1	 0	0
1	 2	 1	 0	0
1	 3	 1	 0	0
1	 4	 1	 0	0
1	 5	 1	 0	0
2	 0	 1	 0	0
2	 1	 1	 0	0
2	 2	 1	 0	0
2	 3	 1	 0	0
2	 4	 1	 0	0
2	 5	 1	 0	0
3	 0	 1	 0	0
3	 1	 1	 0	0
3	 2	 1	 0	0
3	 3	 1	 0	0
3	 4	 1	 0	0
3	 5	 1	 0	0
4	 0	 1	 0	0
4	 1	 1	 0	0
4	 2	 1	 0	0
4	 3	 1	 0	0
4	 4	 1	 0	0
4	 5	 1	 0	0
5	 0	 1	 0	0
5	 1	 1	 0	0
5	 2	 1	 0	0
5	 3	 1	 0	0
5	 4	 1	 0	0
5	 5	 1	 0	0
6	 0	 1	 0	0
6	 1	 1	 0	0
6	 2	 1	 0	0
6	 3	 1	 0	0
6	 4	 1	 0	0
6	 5	 1	 0	0
7	 0	 1	 0	0
7	 1	 1	 0	0
7	 2	 1	 0	0
7	 3	 1	 0	0
7	 4	 1	 0	0
7	 5	 1	 0	0
8	 0	 1	 0	0
8	 1	 1	 0	0
8	 2	 1	 0	0
8	 3	 1	 0	0
8	 4	 1	 0	0
8	 5	 1	 0	0
9	 0	 1	 0	0
9	 1	 1	 0	0
9	 2	 1	 0	0
